group	lib.size	norm.factors	eff.lib.size
SMED_BODY1	993284	0.974159040172865	967616.588059064
SMED_BODY2	993421	0.982749826120962	976284.315014912
SMED_BODY3	993455	0.973991361520214	967616.588059064
SMED_HEAD1	996081	1.16600217931603	1161432.61677529
SMED_HEAD2	995359	1.13689590404617	1131619.5701555
SMED_HEAD3	994986	1.11153518551905	1105961.94809885
SMED_PHARYNX1	995259	0.77135325802685	767696.272230544
SMED_PHARYNX2	994096	0.973363325130636	967616.588059064
SMED_PHARYNX3	992577	0.969394337381521	962198.523215138
