SMED_BODY1	SMED_BODY2	SMED_BODY3	SMED_HEAD1	SMED_HEAD2	SMED_HEAD3	SMED_PHARYNX1	SMED_PHARYNX2	SMED_PHARYNX3
SMED_BODY1	1	0.865290481253002	0.864347571878208	0.803768523312369	0.827573762414249	0.794839046766058	0.844521259791898	0.861196049763945	0.869559617579282
SMED_BODY2	0.865290481253002	1	0.879775567750741	0.809102887412906	0.839356157279083	0.804733074933103	0.854952059596437	0.873426400056486	0.882776268073732
SMED_BODY3	0.864347571878208	0.879775567750741	1	0.805318393589321	0.837249084069119	0.801143907082048	0.863894797870505	0.87641026272703	0.885504216603882
SMED_HEAD1	0.803768523312369	0.809102887412906	0.805318393589321	1	0.824172441127693	0.767750478307516	0.773705580886678	0.799812234709873	0.806015390979226
SMED_HEAD2	0.827573762414249	0.839356157279083	0.837249084069119	0.824172441127693	1	0.796297693374612	0.810557989166341	0.831646084840826	0.837595000103804
SMED_HEAD3	0.794839046766058	0.804733074933103	0.801143907082048	0.767750478307516	0.796297693374612	1	0.781257893025912	0.795035467749586	0.802774392499792
SMED_PHARYNX1	0.844521259791898	0.854952059596437	0.863894797870505	0.773705580886678	0.810557989166341	0.781257893025912	1	0.856874581698791	0.872515251603463
SMED_PHARYNX2	0.861196049763945	0.873426400056486	0.87641026272703	0.799812234709873	0.831646084840826	0.795035467749586	0.856874581698791	1	0.884348418692088
SMED_PHARYNX3	0.869559617579282	0.882776268073732	0.885504216603882	0.806015390979226	0.837595000103804	0.802774392499792	0.872515251603463	0.884348418692088	1
