ONUN_BODY1	ONUN_BODY2	ONUN_BODY3	ONUN_HEAD1	ONUN_HEAD2	ONUN_HEAD3	ONUN_PHARYNX1	ONUN_PHARYNX2	ONUN_PHARYNX3
ONUN_BODY1	1	0.801026270342865	0.862009744396119	0.783194746413786	0.785960828064385	0.857744988016356	0.896437106430894	0.80830315738826	0.849161862046405
ONUN_BODY2	0.801026270342865	1	0.814527566637524	0.697076607010727	0.766294763803898	0.730869584769456	0.790585701666138	0.869391838205493	0.788528924376454
ONUN_BODY3	0.862009744396119	0.814527566637524	1	0.74719405295748	0.777762526591823	0.843132945361501	0.853466018700998	0.806848249898881	0.910062783886271
ONUN_HEAD1	0.783194746413786	0.697076607010727	0.74719405295748	1	0.80364840189821	0.76310698703997	0.806150233131259	0.709803536578391	0.750035709743319
ONUN_HEAD2	0.785960828064385	0.766294763803898	0.777762526591823	0.80364840189821	1	0.794449754015073	0.803697388741063	0.780201368565117	0.780775932945065
ONUN_HEAD3	0.857744988016356	0.730869584769456	0.843132945361501	0.76310698703997	0.794449754015073	1	0.794784660127534	0.731703575651282	0.833872161314316
ONUN_PHARYNX1	0.896437106430894	0.790585701666138	0.853466018700998	0.806150233131259	0.803697388741063	0.794784660127534	1	0.819406689374484	0.869048681796102
ONUN_PHARYNX2	0.80830315738826	0.869391838205493	0.806848249898881	0.709803536578391	0.780201368565117	0.731703575651282	0.819406689374484	1	0.811935100968375
ONUN_PHARYNX3	0.849161862046405	0.788528924376454	0.910062783886271	0.750035709743319	0.780775932945065	0.833872161314316	0.869048681796102	0.811935100968375	1
